mid,name,title,refCons,titleShort,easyness,level,figNum,lifeTime,price,season
1,mTOsolar,太陽光発電を設置する,consTotal,太陽光発電,0.5,,25,20,350000,wss
2,mTOhems,HEMS装置を設置する,consTotal,HEMS装置,1,,3,20,200000,wss
3,mTOsolarSmall,ベランダに太陽光パネルを置く,consTotal,ベランダ太陽光,2,,25,10,50000,wss
6,mTOzeh,ZEHに建て替える,consTotal,ZEH,0.5,,25,30,22000000,wss
7,mTObattery,家庭用蓄電池を設置する,consTotal,家庭用蓄電池,0.5,,25,10,1000000,wss
8,mTOv2h,電気自動車を家庭用蓄電池として活用する,consTotal,V2H,0.5,,21,6,1000000,wss
10,mTOzeroelectricity,CO2排出係数が0の電気を選ぶ,consTotal,脱炭素電力を選ぶ,2,,25,,,wss
101,mHWecocute,給湯器をエコキュートに買い換える,consHWsum,エコキュート,2,,8,10,400000,wss
102,mHWecojoze,給湯器をエコジョーズ（潜熱回収型ガス給湯器）に買い換える,consHWsum,エコジョーズ,2,,10,10,200000,wss
103,mHWecofeel,給湯器をエコフィール（潜熱回収型灯油給湯器）に買い換える,consHWsum,エコフィール,1,,10,10,250000,wss
104,mHWenefarmSOFC,給湯器をSOFCタイプのエネファーム（燃料電池）に買い換える,consHWsum,エネファームSOFC,0.5,5,10,10,1100000,wss
105,mHWenefarm,給湯器をエネファーム（燃料電池）に買い換える,consHWsum,エネファーム,0.5,5,10,10,900000,wss
106,mHWsolarHeater,太陽熱温水器（自然循環式）を設置して利用する,consHWsum,太陽熱温水器,1,,9,10,400000,wss
107,mHWsolarSystem,ソーラーシステム（強制循環式）を設置して利用する,consHWsum,ソーラーシステム,1,,9,10,600000,wss
108,mHWshowerHead,節水シャワーヘッドを取り付けて利用する,consHWshower,節水シャワーヘッド,5,,11,10,3000,wss
109,mHWshowerTime,シャワーの利用を1人1日1分短くする,consHWshower,シャワー1人1分短縮,4,,11,,,wss
110,mHWshowerTime30,シャワーの利用時間を3割短くする,consHWshower,シャワー3割短縮,3,,11,,,wss
111,mHWkeep,風呂に家族が続けて入り追い焚きをしない,consHWtub,風呂の保温をしない,3,,12,,,wss
112,mHWsaveMode,エコキュートを「節約モード」に設定する,consHWsum,給湯節約モード,3,,8,,,wss
113,mHWstopAutoKeep,自動保温を続けるのでなく、次の人が入る直前に沸かし直す,consHWtub,自動保温をしない,3,,12,,,wss
114,mHWinsulation,断熱型の浴槽にリフォームする,consHWtub,断熱浴槽,1,,12,10,600000,wss
115,mHWonlyShower,夏場はシャワーだけですませて浴槽にお湯を張らない,consHWtub,夏に浴槽のお湯をためない,3,,11,,,wss
116,mHWdishTank,食器洗いでお湯を流しっぱなしにしない,consHWdishwash,食器流し洗い,2,,13,,,wss
117,mHWdishWater,水が冷たくない時期には水で食器を洗う,consHWdishwash,食器水洗い,2,,13,,,wss
118,mCKdishWasher,食器洗い乾燥機を使う,consHWdishwash,食器洗浄機,2,,15,10,80000,wss
119,mHWtap,台所・洗面所に節湯水栓を設置する,consHWsum,節湯水栓,2,,13,20,,wss
120,mHWreplaceToilet5,節水トイレを設置する,consHWtoilet,節水トイレ,1,,19,10,200000,wss
121,mHWreplaceToilet,瞬間式の温水洗浄便座に買い替える,consHWtoilet,瞬間式便座,1,,19,10,30000,wss
122,mHWtemplatureToilet,保温便座の温度設定を下げる,consHWtoilet,便座温度調節,3,,19,,,wss
123,mHWcoverTilet,保温洗浄便座のふたをしめる,consHWtoilet,便座のふたを閉める,3,,19,,,wss
201,mACreplace,エアコンを省エネ型に買い替える,consAC,省エネエアコン,1,,1,10,160000,wss
202,mACreplaceHeat,エアコンを省エネ型に買い替え、エアコンで暖房する,consAC,省エネエアコン＋暖房,2,,1,10,160000,wss
203,mACchangeHeat,暖房をエアコンでする,consACheat,エアコン暖房,2,,1,,,wss
204,mHTchangeHeat,家の暖房をエアコンでする,consHTsum,エアコン暖房,1,,1,,,wss
205,mCOsunCut,冷房で、すだれ等を使い日射をカットする,consCOsum,冷房日射カット,4,,1,5,,wss
206,mCOtemplature,冷房の温度設定を控えめ（28℃）にする,consACcool,冷房設定温度,3,,1,,,wss
207,mHTtemplature,厚着をして暖房の温度設定を控えめ（20℃）にする,consACheat,暖房設定温度,3,,3,,,wss
208,mHTwindowSheet,暖房時に、窓用の断熱シートを貼る,consACheat,窓断熱シート,3,,4,3,3000,wss
209,mHTdouble,窓・サッシを複合素材枠二重ガラスにする,consACheat,二重ガラス,1,5,4,30,150000,wss
210,mHTlowe,窓・サッシを樹脂枠low-Eガラスにする,consACheat,樹脂枠low-Eガラス,1,,4,30,170000,wss
211,mHTuchimado,内窓をとりつける,consACheat,内窓,2,5,4,30,100000,wss
212,mHTdoubleGlassAll,全ての部屋の窓ガラスを複層ガラスに置き換える,consHTsum,全居室を複層ガラスに,1,,4,30,750000,wss
213,mHTuchimadoAll,全ての部屋に内窓をとりつける,consHTsum,全居室を内窓に,1,,4,30,500000,wss
214,mHTloweAll,全ての部屋の窓・サッシを樹脂枠low-Eガラスにする,consHTsum,全居室を樹脂枠low-Eガラスに,1,,4,30,850000,wss
215,mACfilter,エアコンのフィルターを掃除する,consACheat,フィルター掃除,2,5,1,,,wss
216,mHTtime,暖房の使用時間を1時間短くする,consACheat,暖房1時間短縮,3,,3,,,wss
217,mHTpartialHeating,こたつやホットカーペットを活用して、部屋暖房を控える,consACheat,こたつ・ホットカーペット,2,,3,,,wss
218,mHTceiling,暖房時に天井の暖気をかきまぜる,consACheat,サーキュレータ,2,,3,,,wss
219,mHTareaLimit,暖房時に部屋のドアやふすまを閉め、暖房範囲を小さくする,consACheat,暖房範囲,2,5,3,,,wss
220,mHTdanran,家族だんらんで一部屋で過ごすようにする,consHTsum,家族だんらん,3,,3,,,wss
221,mHTbiomass,薪ストーブ（ペレットストーブ）を導入する,consACheat,薪・ペレットストーブ,1,,3,20,300000,wss
222,mHTcentralNotUse,使っていない部屋の設定温度を下げる,consHTsum,未使用部屋の暖房温度,2,5,3,,,wss
223,mHTkanki,全熱交換換気装置を設置する,consHTsum,全熱交換換気,1,,3,20,100000,wss
224,mHTreformLV5,省エネ等級5（ZEH相当）の省エネ住宅にリフォームする,consHTsum,省エネ住宅等級5,1,,3,20,10000000,wss
225,mHTreformLV6,省エネ等級6相当の省エネ住宅にリフォームする,consHTsum,省エネ住宅等級6,1,,3,20,11000000,wss
301,mPTstopPot,電気ポットで保温をしない,consCKpot,ポット保温しない,2,,17,,,wss
302,mPTstopPotNight,外出時や夜間に電気ポットの保温を止める,consCKpot,夜間保温停止,3,,17,,,wss
303,mPTstopRiceCooker,炊飯ジャーの保温をやめる,consCKrice,ジャー保温,3,,18,,,wss
304,mPTreplacePot,省エネタイプの電気ポットに買い替える,consCKpot,省エネ電気ポット,2,,17,10,20000,wss
305,mCKflame,鍋から炎がはみ出さないようにする,consCKcook,調理炎調整,2,,14,,,wss
401,mDRsolar,晴れた日は衣類乾燥機や乾燥機能を使わずに天日乾燥させる,consDRsum,天日干し,2,,16,,,wss
402,mDRheatPump,ヒートポンプ式の衣類乾燥ができる洗濯機に買い替える,consDRsum,ヒートポンプ乾燥,1,,16,10,140000,wss
501,mLIceilingLED,蛍光灯器具をLEDシーリングライトに付け替える,consLI,LEDライト,4,,6,20,,wss
502,mLILED,LEDに付け替える,consLI,LED電球,2,,5,40000h,1500,wss
503,mLIsensor,人感センサー式に付け替える,consLI,センサー照明,2,,5,10,1500,wss
504,mLItime,照明を使う時間を1時間短くする,consLI,照明短縮,3,,6,,,wss
505,mLIoff,部屋を出るときに照明を消す,consLIsum,照明消灯,4,,6,,,wss
601,mTVreplace,省エネ性能の高いテレビに買い替える,consTV,省エネテレビ購入,2,,7,10,50000,wss
602,mTVradio,テレビの時間の半分をラジオにする,consTVsum,ラジオ,1,,7,,,wss
603,mTVtime,テレビを点ける時間を1日1時間短くする,consTV,テレビ短縮,3,,7,,,wss
604,mTVbright,テレビの画面を明るすぎないよう調整する,consTV,テレビ明るさ調節,2,,7,,,wss
701,mRFreplace,冷蔵庫を省エネ型に買い替える,consRF,省エネ冷蔵庫,2,,2,10,150000,wss
702,mRFstop,冷蔵庫のうち１台を止める,consRF,冷蔵庫停止,2,,2,,,wss
703,mRFwall,冷蔵庫を壁から離す,consRF,冷蔵庫位置,4,,2,,,wss
704,mRFtemplature,冷蔵庫の温度設定を控えめにする,consRF,冷蔵温度,4,,2,,,wss
801,mCRreplace,エコカーに買い替える,consCR,車買い替え,2,,21,8,1800000,wss
802,mCRreplaceElec,電気自動車を導入する,consCR,電気自動車,1,,21,7,3000000,wss
803,mCRecoDrive,アイドリングストップなどエコドライブに心がける,consCRsum,エコドライブ,3,,21,,,wss
804,mCRtrain,鉄道やバスなど公共交通機関を利用する,consCRtrip,公共交通,2,,22,,,wss
